dt,AverageTemperature,Country,GDP,G20
2003-08-01,0.9759768943255183,Haiti,5000238128.66769,False
2004-08-01,0.9898742779476725,Haiti,6005401729.71229,False
2005-08-01,0.9831124702684337,Haiti,7049954288.93905,False
2006-08-01,0.9749235474006116,Haiti,7408787819.1302,False
2007-08-01,0.9789670404349303,Haiti,9315973989.16572,False
2008-08-01,0.9805980292218826,Haiti,10386485527.8494,False
2009-08-01,0.9906557934080871,Haiti,11269821158.975,False
2010-08-01,0.9960244648318043,Haiti,11661585823.2282,False
2011-08-01,0.9702344546381243,Haiti,13008748131.675,False
2012-08-01,0.9775739041794088,Haiti,13708931889.7884,False
2013-08-01,0.9692490655793408,Haiti,14498080022.6317,False
1960-08-01,0.8673462453278967,Honduras,335650000.0,False
1961-08-01,0.8698606863744479,Honduras,356200000.0,False
1962-08-01,0.8726469588854909,Honduras,387750000.0,False
1963-08-01,0.8769962623173632,Honduras,410200000.0,False
1964-08-01,0.8659191301393137,Honduras,457000000.0,False
1965-08-01,0.8695208970438328,Honduras,508650000.0,False
1966-08-01,0.8678219503907579,Honduras,549950000.0,False
1967-08-01,0.8671763506625892,Honduras,598100000.0,False
1968-08-01,0.8654774040095141,Honduras,646800000.0,False
1969-08-01,0.8615698267074414,Honduras,668000050.0,False
1970-08-01,0.8593272171253825,Honduras,723000000.0,False
1971-08-01,0.8497791369351002,Honduras,731000000.0,False
1972-08-01,0.8596330275229358,Honduras,802999950.0,False
1973-08-01,0.8602446483180428,Honduras,912499950.0,False
1974-08-01,0.8595650696568128,Honduras,1034500000.0,False
1975-08-01,0.8558953448861706,Honduras,1124000000.0,False
1976-08-01,0.8716275908936459,Honduras,1347999950.0,False
1977-08-01,0.880428134556575,Honduras,1669499950.0,False
1978-08-01,0.8688413183826028,Honduras,3097242093.22441,False
1979-08-01,0.8752633367312267,Honduras,3544281976.29198,False
1980-08-01,0.8792728508324839,Honduras,3968160045.98684,False
1981-08-01,0.8693170234454638,Honduras,4043894878.58005,False
1982-08-01,0.8810057764186205,Honduras,4266503525.61051,False
1983-08-01,0.8781515460414544,Honduras,4476697184.85981,False
1984-08-01,0.8605844376486579,Honduras,4915311846.48827,False
1985-08-01,0.8613659531090724,Honduras,5278120712.5459,False
1986-08-01,0.8776758409785932,Honduras,5677828958.90605,False
1987-08-01,0.8840638803941556,Honduras,6190521241.46495,False
1988-08-01,0.8836901121304792,Honduras,5902717091.54747,False
1989-08-01,0.8791029561671764,Honduras,5432344901.77821,False
1990-08-01,0.8763166836561335,Honduras,4923009551.51561,False
1991-08-01,0.8877336051647978,Honduras,4648668478.56753,False
1992-08-01,0.8745837580699967,Honduras,4943700431.07368,False
1993-08-01,0.8733265375467211,Honduras,4926728932.95069,False
1994-08-01,0.8840299014610941,Honduras,4642280682.14252,False
1995-08-01,0.8913013931362556,Honduras,5347445005.21376,False
1996-08-01,0.8655793408086986,Honduras,5215028986.48649,False
1997-08-01,0.8911314984709483,Honduras,5737099650.19011,False
1998-08-01,0.9045531770302412,Honduras,6366340265.87888,False
1999-08-01,0.8830784913353721,Honduras,6414520529.61672,False
2000-08-01,0.8739041794087666,Honduras,7103507989.05044,False
2001-08-01,0.881311586816174,Honduras,7651174661.42872,False
2002-08-01,0.8882093102276589,Honduras,7858235333.4834,False
2003-08-01,0.8824328916072035,Honduras,8230387552.2259,False
2004-08-01,0.9006116207951074,Honduras,8869311410.95131,False
2005-08-01,0.8961264016309888,Honduras,9757034456.7578,False
2006-08-01,0.9022765885151206,Honduras,10917481688.4711,False
2007-08-01,0.88212708120965,Honduras,12361257680.5627,False
2008-08-01,0.8841318382602786,Honduras,13881701033.6546,False
2009-08-01,0.8908936459395176,Honduras,14587496229.1811,False
2010-08-01,0.8779136935100238,Honduras,15839344591.9842,False
2011-08-01,0.899388379204893,Honduras,17710315005.9999,False
2012-08-01,0.8797825348284064,Honduras,18528601901.324,False
2013-08-01,0.8467550118926266,Honduras,18499710127.8385,False
1960-08-01,0.8525993883792049,Japan,44307342950.4,True
1961-08-01,0.8508324838600068,Japan,53508617739.3778,True
1962-08-01,0.8385660890248046,Japan,60723018683.7333,True
1963-08-01,0.8198097179748556,Japan,69498131797.3333,True
1964-08-01,0.8492694529391777,Japan,81749006381.5111,True
1965-08-01,0.8246347264695888,Japan,90950278257.7778,True
1966-08-01,0.8391777098199117,Japan,105628070343.111,True
1967-08-01,0.8532110091743119,Japan,123781880217.6,True
1968-08-01,0.8101257220523275,Japan,146601072685.511,True
1969-08-01,0.8129799524294936,Japan,172204199480.889,True
1970-08-01,0.8284743459055386,Japan,212609187919.444,True
1971-08-01,0.810227658851512,Japan,240151807460.241,True
1972-08-01,0.8231056744818213,Japan,318031297492.352,True
1973-08-01,0.8714576962283384,Japan,432082670450.719,True
1974-08-01,0.8284063880394156,Japan,479625998613.406,True
1975-08-01,0.8384641522256201,Japan,521541905673.251,True
1976-08-01,0.7757730207271492,Japan,586161858999.671,True
1977-08-01,0.789432551817873,Japan,721411786536.814,True
1978-08-01,0.8688752973156644,Japan,1013612173518.84,True
1979-08-01,0.8372748895684675,Japan,1055012119526.33,True
1980-08-01,0.745429833503228,Japan,1105385973763.87,True
1981-08-01,0.8057764186204552,Japan,1218988935129.81,True
1982-08-01,0.8246007475365273,Japan,1134518001884.56,True
1983-08-01,0.8449881073734284,Japan,1243323592058.83,True
1984-08-01,0.8688073394495414,Japan,1318381627003.76,True
1985-08-01,0.8837240910635407,Japan,1398892744820.69,True
1986-08-01,0.8348284063880396,Japan,2078953333673.55,True
1987-08-01,0.8152565409446143,Japan,2532808573157.03,True
1988-08-01,0.8361875637104995,Japan,3071683013178.91,True
1989-08-01,0.8377505946313286,Japan,3054914166263.18,True
1990-08-01,0.871219843696908,Japan,3132817652848.04,True
1991-08-01,0.7910975195378865,Japan,3584420077100.84,True
